Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.40      2.42     0.01   336856     0.00     0.00  void std::vector<float, std::allocator<float> >::_M_range_insert<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, std::forward_iterator_tag)
  0.40      2.43     0.01   194561     0.00     0.00  void std::vector<neuron*, std::allocator<neuron*> >::_M_realloc_insert<neuron*>(__gnu_cxx::__normal_iterator<neuron**, std::vector<neuron*, std::allocator<neuron*> > >, neuron*&&)
  0.40      2.44     0.01    96186     0.00     0.00  void std::vector<long double, std::allocator<long double> >::_M_realloc_insert<long double const&>(__gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, long double const&)
  0.40      2.45     0.01    89752     0.00     0.00  segment_class::checker_nf(std::vector<neuron, std::allocator<neuron> >&)
  0.40      2.46     0.01    53543     0.00     0.00  converted_data_pack::converted_data_pack(converted_data_pack const&)
  0.40      2.47     0.01    30887     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.40      2.48     0.01    23769     0.00     0.00  void std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_range_insert<__gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > > >(__gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > >, __gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > >, __gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > >, std::forward_iterator_tag)
  0.40      2.49     0.01     3635     0.00     0.00  void std::vector<std::vector<converted_data_pack, std::allocator<converted_data_pack> >, std::allocator<std::vector<converted_data_pack, std::allocator<converted_data_pack> > > >::_M_realloc_insert<std::vector<converted_data_pack, std::allocator<converted_data_pack> > const&>(__gnu_cxx::__normal_iterator<std::vector<converted_data_pack, std::allocator<converted_data_pack> >*, std::vector<std::vector<converted_data_pack, std::allocator<converted_data_pack> >, std::allocator<std::vector<converted_data_pack, std::allocator<converted_data_pack> > > > >, std::vector<converted_data_pack, std::allocator<converted_data_pack> > const&)
  0.40      2.50     0.01     3564     0.00     0.00  void std::vector<simplex_solver_data_preparation_class, std::allocator<simplex_solver_data_preparation_class> >::_M_realloc_insert<simplex_solver_data_preparation_class const&>(__gnu_cxx::__normal_iterator<simplex_solver_data_preparation_class*, std::vector<simplex_solver_data_preparation_class, std::allocator<simplex_solver_data_preparation_class> > >, simplex_solver_data_preparation_class const&)
  0.40      2.51     0.01      871     0.01     0.20  segment_class::testing_for_each_label()
  0.40      2.52     0.01        1    10.00   209.04  segment_class::train()
  0.20      2.53     0.01                             simplex_solver_data_preparation_class::lp_solver()
  0.20      2.53     0.01                             std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (simplex_solver_data_preparation_class::*)(), simplex_solver_data_preparation_class> > >::_M_run()
  0.00      2.53     0.00   697857     0.00     0.00  double& std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
  0.00      2.53     0.00   352636     0.00     0.00  void std::vector<std::vector<neuron, std::allocator<neuron> >, std::allocator<std::vector<neuron, std::allocator<neuron> > > >::_M_realloc_insert<std::vector<neuron, std::allocator<neuron> > >(__gnu_cxx::__normal_iterator<std::vector<neuron, std::allocator<neuron> >*, std::vector<std::vector<neuron, std::allocator<neuron> >, std::allocator<std::vector<neuron, std::allocator<neuron> > > > >, std::vector<neuron, std::allocator<neuron> >&&)
  0.00      2.53     0.00   269010     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00      2.53     0.00   211741     0.00     0.00  modified_simplex_solver::make_solution_feasible::add_index_data(int, int)
  0.00      2.53     0.00   211200     0.00     0.00  std::vector<float, std::allocator<float> >::_M_default_append(unsigned long)
  0.00      2.53     0.00   210050     0.00     0.00  void std::vector<long double, std::allocator<long double> >::_M_range_insert<__gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > > >(__gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, __gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, __gnu_cxx::__normal_iterator<long double*, std::vector<long double, std::allocator<long double> > >, std::forward_iterator_tag)
  0.00      2.53     0.00   197560     0.00     0.00  neuron*& std::vector<neuron*, std::allocator<neuron*> >::emplace_back<neuron*>(neuron*&&)
  0.00      2.53     0.00   171753     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  0.00      2.53     0.00   158157     0.00     0.00  segment_class::combine_output_neurons(std::vector<std::vector<neuron, std::allocator<neuron> >, std::allocator<std::vector<neuron, std::allocator<neuron> > > >)
  0.00      2.53     0.00   153981     0.00     0.00  std::vector<neuron, std::allocator<neuron> >::_M_default_append(unsigned long)
  0.00      2.53     0.00   142044     0.00     0.00  long double& std::vector<long double, std::allocator<long double> >::emplace_back<long double>(long double&&)
  0.00      2.53     0.00    98352     0.00     0.00  void std::__introsort_loop<__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(chromosome, chromosome)> >(__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, long, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(chromosome, chromosome)>)
  0.00      2.53     0.00    87553     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::_M_erase(__gnu_cxx::__normal_iterator<std::vector<float, std::allocator<float> >*, std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > >)
  0.00      2.53     0.00    83298     0.00     0.00  std::vector<float, std::allocator<float> >::operator=(std::vector<float, std::allocator<float> > const&)
  0.00      2.53     0.00    66728     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      2.53     0.00    59539     0.00     0.00  converted_data_pack::~converted_data_pack()
  0.00      2.53     0.00    51911     0.00     0.00  std::vector<converted_data_pack, std::allocator<converted_data_pack> >::~vector()
  0.00      2.53     0.00    35915     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      2.53     0.00    34734     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
  0.00      2.53     0.00    27961     0.00     0.00  genetic_algorithm::comparator(chromosome, chromosome)
  0.00      2.53     0.00    26110     0.00     0.00  modified_simplex_solver::check_for_corrupt_cdp(converted_data_pack*)
  0.00      2.53     0.00    25636     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      2.53     0.00    22602     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      2.53     0.00    14375     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::operator=(std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > > const&)
  0.00      2.53     0.00    13970     0.00     0.00  segment_class::checker_df(std::vector<neuron, std::allocator<neuron> >&)
  0.00      2.53     0.00    12726     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      2.53     0.00    11848     0.00     0.00  std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&)
  0.00      2.53     0.00    10997     0.00     0.00  void std::vector<converted_data_pack, std::allocator<converted_data_pack> >::_M_realloc_insert<converted_data_pack const&>(__gnu_cxx::__normal_iterator<converted_data_pack*, std::vector<converted_data_pack, std::allocator<converted_data_pack> > >, converted_data_pack const&)
  0.00      2.53     0.00    10449     0.00     0.00  simplex_solver_data_preparation_class::~simplex_solver_data_preparation_class()
  0.00      2.53     0.00    10352     0.00     0.00  unsigned long std::uniform_int_distribution<unsigned long>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<unsigned long>::param_type const&)
  0.00      2.53     0.00     7488     0.00     0.00  std::vector<converted_data_pack, std::allocator<converted_data_pack> >::operator=(std::vector<converted_data_pack, std::allocator<converted_data_pack> > const&)
  0.00      2.53     0.00     7367     0.00     0.00  std::vector<std::vector<float, std::allocator<float> >, std::allocator<std::vector<float, std::allocator<float> > > >::~vector()
  0.00      2.53     0.00     7054     0.00     0.00  path_struct::~path_struct()
  0.00      2.53     0.00     6939     0.00     0.00  simplex_solver_data_preparation_class::simplex_solver_data_preparation_class(simplex_solver_data_preparation_class const&)
  0.00      2.53     0.00     6877     0.00     0.00  modified_simplex_solver::make_solution_feasible::conflicting_data_finder(modified_simplex_solver::simplex_table*)
  0.00      2.53     0.00     6656     0.00     0.00  void std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> >::_M_realloc_insert<nn_core_filtered_data const&>(__gnu_cxx::__normal_iterator<nn_core_filtered_data*, std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> > >, nn_core_filtered_data const&)
  0.00      2.53     0.00     4730     0.00     0.00  void std::vector<path_struct, std::allocator<path_struct> >::_M_realloc_insert<path_struct const&>(__gnu_cxx::__normal_iterator<path_struct*, std::vector<path_struct, std::allocator<path_struct> > >, path_struct const&)
  0.00      2.53     0.00     4440     0.00     0.00  std::vector<converted_data_pack, std::allocator<converted_data_pack> >::_M_erase(__gnu_cxx::__normal_iterator<converted_data_pack*, std::vector<converted_data_pack, std::allocator<converted_data_pack> > >)
  0.00      2.53     0.00     3669     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      2.53     0.00     3635     0.00     0.00  void std::vector<converted_data_pack, std::allocator<converted_data_pack> >::_M_range_insert<__gnu_cxx::__normal_iterator<converted_data_pack*, std::vector<converted_data_pack, std::allocator<converted_data_pack> > > >(__gnu_cxx::__normal_iterator<converted_data_pack*, std::vector<converted_data_pack, std::allocator<converted_data_pack> > >, __gnu_cxx::__normal_iterator<converted_data_pack*, std::vector<converted_data_pack, std::allocator<converted_data_pack> > >, __gnu_cxx::__normal_iterator<converted_data_pack*, std::vector<converted_data_pack, std::allocator<converted_data_pack> > >, std::forward_iterator_tag)
  0.00      2.53     0.00     3621     0.00     0.00  void std::__unguarded_linear_insert<__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(chromosome, chromosome)> >(__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__ops::_Val_comp_iter<bool (*)(chromosome, chromosome)>)
  0.00      2.53     0.00     3432     0.00     0.00  simplex_solver_data_preparation_class::simplex_solver_data_preparation_class(std::vector<converted_data_pack, std::allocator<converted_data_pack> >&, datapack_structure_defination*, ann*)
  0.00      2.53     0.00     3374     0.00     0.00  simplex_solver_data_preparation_class::cdp_spliter(std::vector<converted_data_pack, std::allocator<converted_data_pack> >&, int)
  0.00      2.53     0.00     2500     0.00     0.00  std::vector<chromosome, std::allocator<chromosome> >::_M_erase(__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >)
  0.00      2.53     0.00     2400     0.00     0.00  genetic_algorithm::chromosome_data_transfer(int, bool, chromosome&, chromosome&)
  0.00      2.53     0.00     2348     0.00     0.00  core_class::core_class(int, int, int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, datapack_structure_defination&)
  0.00      2.53     0.00     2308     0.00     0.00  segment_class::segment_class(segment_class const&)
  0.00      2.53     0.00     2305     0.00     0.00  void std::vector<core_class*, std::allocator<core_class*> >::_M_realloc_insert<core_class* const&>(__gnu_cxx::__normal_iterator<core_class**, std::vector<core_class*, std::allocator<core_class*> > >, core_class* const&)
  0.00      2.53     0.00     2293     0.00     0.00  core_class::set_critical_variable(chromosome)
  0.00      2.53     0.00     2217     0.00     0.00  core_class::load_training_data_into_core(std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> >&, int&)
  0.00      2.53     0.00     2137     0.00     0.00  core_class::network_structure_modifier()
  0.00      2.53     0.00     1970     0.00     0.00  segment_class::clear()
  0.00      2.53     0.00     1838     0.00     0.00  core_class::big_c_datapack_handler(std::vector<converted_data_pack, std::allocator<converted_data_pack> >&)
  0.00      2.53     0.00     1806     0.00     0.01  core_class::c_data_packs_division_for_multi_threading(std::vector<std::vector<converted_data_pack, std::allocator<converted_data_pack> >, std::allocator<std::vector<converted_data_pack, std::allocator<converted_data_pack> > > >&, std::vector<converted_data_pack, std::allocator<converted_data_pack> >&, int)
  0.00      2.53     0.00     1200     0.00     0.00  segment_class::add_f_data(std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> >&)
  0.00      2.53     0.00     1196     0.00     0.00  std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> >::operator=(std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> > const&)
  0.00      2.53     0.00     1177     0.00     0.00  segment_class::segment_class(int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      2.53     0.00     1099     0.00     0.00  std::vector<std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> >, std::allocator<std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> > > >::_M_default_append(unsigned long)
  0.00      2.53     0.00     1024     0.00     0.00  segment_class::create_cores()
  0.00      2.53     0.00      819     0.00     0.00  void std::vector<segment_class, std::allocator<segment_class> >::_M_realloc_insert<segment_class const&>(__gnu_cxx::__normal_iterator<segment_class*, std::vector<segment_class, std::allocator<segment_class> > >, segment_class const&)
  0.00      2.53     0.00      607     0.00     0.00  void std::vector<chromosome, std::allocator<chromosome> >::_M_realloc_insert<chromosome const&>(__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, chromosome const&)
  0.00      2.53     0.00      385     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(chromosome, chromosome)> >(__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(chromosome, chromosome)>)
  0.00      2.53     0.00      292     0.00     0.00  breaker(raw_data*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      2.53     0.00       51     0.00     0.00  genetic_algorithm::calc_fitness_threaded(int, std::vector<chromosome, std::allocator<chromosome> >&)
  0.00      2.53     0.00       50     0.00     0.00  genetic_algorithm::save_chromosome(chromosome&)
  0.00      2.53     0.00       50     0.00     0.35  genetic_algorithm::tournament_selection(std::vector<chromosome, std::allocator<chromosome> >)
  0.00      2.53     0.00       50     0.00     0.90  genetic_algorithm::mutation(std::vector<chromosome, std::allocator<chromosome> >&)
  0.00      2.53     0.00       50     0.00     0.08  genetic_algorithm::crossover(std::vector<chromosome, std::allocator<chromosome> >&)
  0.00      2.53     0.00       50     0.00     0.00  void std::vector<chromosome, std::allocator<chromosome> >::_M_range_insert<__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > > >(__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, std::forward_iterator_tag)
  0.00      2.53     0.00       50     0.00     0.00  void std::__insertion_sort<__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(chromosome, chromosome)> >(__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(chromosome, chromosome)>)
  0.00      2.53     0.00       47     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, long, chromosome, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(chromosome, chromosome)> >(__gnu_cxx::__normal_iterator<chromosome*, std::vector<chromosome, std::allocator<chromosome> > >, long, long, chromosome, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(chromosome, chromosome)>)
  0.00      2.53     0.00       43     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::emplace_back<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      2.53     0.00       30     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.53     0.00       16     0.00     0.00  void std::vector<shuffling_data, std::allocator<shuffling_data> >::_M_realloc_insert<shuffling_data const&>(__gnu_cxx::__normal_iterator<shuffling_data*, std::vector<shuffling_data, std::allocator<shuffling_data> > >, shuffling_data const&)
  0.00      2.53     0.00       11     0.00     0.00  segment_class::print_message()
  0.00      2.53     0.00        8     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.53     0.00        7     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      2.53     0.00        3     0.00     0.00  core_class::save_core(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      2.53     0.00        2     0.00     0.00  shuffler(nn_core_filtered_data*)
  0.00      2.53     0.00        1     0.00     0.00  _GLOBAL__sub_I__Z6clrscrv
  0.00      2.53     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN13segment_class20predict_progress_barEv
  0.00      2.53     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN17genetic_algorithm17get_random_numberEii
  0.00      2.53     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN23modified_simplex_solver22make_solution_feasible29termination_condition_checkerEPNS_13simplex_tableE
  0.00      2.53     0.00        1     0.00     0.00  _GLOBAL__sub_I_iterations
  0.00      2.53     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      2.53     0.00        1     0.00     0.02  data_filter(raw_data*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      2.53     0.00        1     0.00     0.02  prepare_data(nn_core_data_package_class*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      2.53     0.00        1     0.00   279.07  start_segment(int, int, nn_core_data_package_class&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, chromosome)
  0.00      2.53     0.00        1     0.00     0.00  select_data_file(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&)
  0.00      2.53     0.00        1     0.00     0.00  datapack_analyzer(nn_core_data_package_class*)
  0.00      2.53     0.00        1     0.00     0.00  get_no_of_threads()
  0.00      2.53     0.00        1     0.00     0.02  read_data_from_file(raw_data*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      2.53     0.00        1     0.00     0.00  get_critical_variables_from_user(unsigned int&, unsigned int&, unsigned int&)
  0.00      2.53     0.00        1     0.00     0.00  filter(nn_core_data_package_class&, datapack_structure_defination, std::vector<nn_core_filtered_data, std::allocator<nn_core_filtered_data> >&)
  0.00      2.53     0.00        1     0.00     0.00  segment_class::save_segment()
  0.00      2.53     0.00        1     0.00   209.06  segment_class::start_trainer()
  0.00      2.53     0.00        1     0.00     0.00  segment_class::set_critical_variable(chromosome*)
  0.00      2.53     0.00        1     0.00    70.00  genetic_algorithm::start_genetic_algorithm(int)
  0.00      2.53     0.00        1     0.00     3.04  genetic_algorithm::generate_initial_population()
  0.00      2.53     0.00        1     0.00     0.00  genetic_algorithm::genetic_algorithm(unsigned int&, unsigned int&, unsigned int&, int&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.40% of 2.53 seconds

index % time    self  children    called     name
                                3966             simplex_solver_data_preparation_class::lp_solver() [1]
